"source","category","name","canonical_url","cli_identifier","scraped_description","implementation_prompt"
"Arlan Vault","","Liquid UI","https://arlan.me/vault/liquid-ui","","I love UI where two cards fuse and the corner between them bends inward, like they were poured together, so I built a tiny engine that just makes it from code instead of drawing it by hand. Drag the cards below to watch the join re-flow, and turn one knob to go from crisp joints all the way to soft gooey blobs.","Build an original interactive web study called **Liquid UI**. Start from this visual direction: I love UI where two cards fuse and the corner between them bends inward, like they were poured together, so I built a tiny engine that just makes it from code instead of drawing it by hand. Drag the cards below to watch the join re-flow, and turn one knob to go from crisp joints all the way to soft gooey blobs. Keep the effect focused on that single idea, expose the principal visual controls, make the resting state clear and accessible, provide a reduced-motion fallback, and avoid copying source code or proprietary artwork from the reference."
"Arlan Vault","","Midjourney Medical's ASCII","https://arlan.me/vault/midjourney","","This is the Midjourney Medical page. When it loads, a bunch of letters spin around and slowly form the Midjourney name. The cool part is that it's not a video or an image. It's all real text that the code moves around live.","Build an original interactive web study called **Midjourney Medical's ASCII**. Start from this visual direction: This is the Midjourney Medical page. When it loads, a bunch of letters spin around and slowly form the Midjourney name. The cool part is that it's not a video or an image. It's all real text that the code moves around live. Keep the effect focused on that single idea, expose the principal visual controls, make the resting state clear and accessible, provide a reduced-motion fallback, and avoid copying source code or proprietary artwork from the reference."
"Arlan Vault","","Pixel brushes","https://arlan.me/vault/pixel-brushes","","A brush is a small shape stamped over and over along a path, and a handful of numbers turn the same code into a crisp line or a loose spray.","Build an original interactive web study called **Pixel brushes**. Start from this visual direction: A brush is a small shape stamped over and over along a path, and a handful of numbers turn the same code into a crisp line or a loose spray. Keep the effect focused on that single idea, expose the principal visual controls, make the resting state clear and accessible, provide a reduced-motion fallback, and avoid copying source code or proprietary artwork from the reference."
"Arlan Vault","","Ransom note","https://arlan.me/vault/ransom-note","","I always liked the ransom-note look, where every letter is torn from a different magazine and taped down crooked. So I took a set of real cut-out letters and made it into something you can type with.","Build an original interactive web study called **Ransom note**. Start from this visual direction: I always liked the ransom-note look, where every letter is torn from a different magazine and taped down crooked. So I took a set of real cut-out letters and made it into something you can type with. Keep the effect focused on that single idea, expose the principal visual controls, make the resting state clear and accessible, provide a reduced-motion fallback, and avoid copying source code or proprietary artwork from the reference."
"Arlan Vault","","Realistic emboss","https://arlan.me/vault/emboss","","Really liked the emboss effect people do, so I replicated it in web.","Build an original interactive web study called **Realistic emboss**. Start from this visual direction: Really liked the emboss effect people do, so I replicated it in web. Keep the effect focused on that single idea, expose the principal visual controls, make the resting state clear and accessible, provide a reduced-motion fallback, and avoid copying source code or proprietary artwork from the reference."
"Arlan Vault","","Symbols effect","https://arlan.me/vault/sandbox","","Drop in an image or a video and it gets cut into four brightness bands. Each band is stamped with a tiny symbol, tinted with its own colour, so the picture is rebuilt out of little marks. It all runs on the GPU, so video plays through it live.","Build an original interactive web study called **Symbols effect**. Start from this visual direction: Drop in an image or a video and it gets cut into four brightness bands. Each band is stamped with a tiny symbol, tinted with its own colour, so the picture is rebuilt out of little marks. It all runs on the GPU, so video plays through it live. Keep the effect focused on that single idea, expose the principal visual controls, make the resting state clear and accessible, provide a reduced-motion fallback, and avoid copying source code or proprietary artwork from the reference."
"Arlan Vault","","The art of color depth","https://arlan.me/vault/color-depth","","Buttons that feel like real objects, glossy glass or brushed metal or a soft cushion. They look expensive and slow to make. They are neither.","Build an original interactive web study called **The art of color depth**. Start from this visual direction: Buttons that feel like real objects, glossy glass or brushed metal or a soft cushion. They look expensive and slow to make. They are neither. Keep the effect focused on that single idea, expose the principal visual controls, make the resting state clear and accessible, provide a reduced-motion fallback, and avoid copying source code or proprietary artwork from the reference."
"Arlan Vault","","The typer","https://arlan.me/vault/typer","","Most headlines fade in. The nice ones type in. A wave runs across the line, and as it passes each letter the letter flickers through a few states, a solid pill, a highlight, an outlined pill, then lands on plain text. Letters next to each other in the same state merge into one long rounded bar.","Build an original interactive web study called **The typer**. Start from this visual direction: Most headlines fade in. The nice ones type in. A wave runs across the line, and as it passes each letter the letter flickers through a few states, a solid pill, a highlight, an outlined pill, then lands on plain text. Letters next to each other in the same state merge into one long rounded bar. Keep the effect focused on that single idea, expose the principal visual controls, make the resting state clear and accessible, provide a reduced-motion fallback, and avoid copying source code or proprietary artwork from the reference."
"React Bits","Animations","Animated Content","https://www.reactbits.dev/animations/animated-content","AnimatedContent","Wrapper that animates any children on scroll or mount with configurable direction, distance, duration, easing and disappear options.","Build an original, reusable React component called **Animated Content**. Its visual behaviour should be: Wrapper that animates any children on scroll or mount with configurable direction, distance, duration, easing and disappear options. Expose sensible props for content, colours, size, timing, intensity, and interaction; preserve keyboard access where it is interactive; avoid unnecessary animation under `prefers-reduced-motion`; and pause expensive rendering while off-screen or the tab is hidden. Use a clean TypeScript API and do not copy React Bits source code."
"React Bits","Animations","Antigravity","https://www.reactbits.dev/animations/antigravity","Antigravity","3D antigravity particle field that repels from the cursor with smooth motion.","Build an original, reusable React component called **Antigravity**. Its visual behaviour should be: 3D antigravity particle field that repels from the cursor with smooth motion. Expose sensible props for content, colours, size, timing, intensity, and interaction; preserve keyboard access where it is interactive; avoid unnecessary animation under `prefers-reduced-motion`; and pause expensive rendering while off-screen or the tab is hidden. Use a clean TypeScript API and do not copy React Bits source code."
"React Bits","Animations","Blob Cursor","https://www.reactbits.dev/animations/blob-cursor","BlobCursor","Organic blob cursor that smoothly follows the pointer with inertia and elastic morphing.","Build an original, reusable React component called **Blob Cursor**. Its visual behaviour should be: Organic blob cursor that smoothly follows the pointer with inertia and elastic morphing. Expose sensible props for content, colours, size, timing, intensity, and interaction; preserve keyboard access where it is interactive; avoid unnecessary animation under `prefers-reduced-motion`; and pause expensive rendering while off-screen or the tab is hidden. Use a clean TypeScript API and do not copy React Bits source code."
"React Bits","Animations","Click Spark","https://www.reactbits.dev/animations/click-spark","ClickSpark","Creates particle spark bursts at click position.","Build an original, reusable React component called **Click Spark**. Its visual behaviour should be: Creates particle spark bursts at click position. Expose sensible props for content, colours, size, timing, intensity, and interaction; preserve keyboard access where it is interactive; avoid unnecessary animation under `prefers-reduced-motion`; and pause expensive rendering while off-screen or the tab is hidden. Use a clean TypeScript API and do not copy React Bits source code."
"React Bits","Animations","Crosshair","https://www.reactbits.dev/animations/crosshair","Crosshair","Custom crosshair cursor with tracking, and link hover effects.","Build an original, reusable React component called **Crosshair**. Its visual behaviour should be: Custom crosshair cursor with tracking, and link hover effects. Expose sensible props for content, colours, size, timing, intensity, and interaction; preserve keyboard access where it is interactive; avoid unnecessary animation under `prefers-reduced-motion`; and pause expensive rendering while off-screen or the tab is hidden. Use a clean TypeScript API and do not copy React Bits source code."
"React Bits","Animations","Cubes","https://www.reactbits.dev/animations/cubes","Cubes","3D rotating cube cluster. Supports auto-rotation or hover interaction.","Build an original, reusable React component called **Cubes**. Its visual behaviour should be: 3D rotating cube cluster. Supports auto-rotation or hover interaction. Expose sensible props for content, colours, size, timing, intensity, and interaction; preserve keyboard access where it is interactive; avoid unnecessary animation under `prefers-reduced-motion`; and pause expensive rendering while off-screen or the tab is hidden. Use a clean TypeScript API and do not copy React Bits source code."
"React Bits","Animations","Cursor Grid","https://www.reactbits.dev/animations/cursor-grid","CursorGrid","Canvas grid whose cells light up around the cursor with configurable radius, falloff and click pulses.","Build an original, reusable React component called **Cursor Grid**. Its visual behaviour should be: Canvas grid whose cells light up around the cursor with configurable radius, falloff and click pulses. Expose sensible props for content, colours, size, timing, intensity, and interaction; preserve keyboard access where it is interactive; avoid unnecessary animation under `prefers-reduced-motion`; and pause expensive rendering while off-screen or the tab is hidden. Use a clean TypeScript API and do not copy React Bits source code."
"React Bits","Animations","Elastic Mesh","https://www.reactbits.dev/animations/elastic-mesh","ElasticMesh","Spring-mesh surface that stretches under the pointer and settles back with damped physics.","Build an original, reusable React component called **Elastic Mesh**. Its visual behaviour should be: Spring-mesh surface that stretches under the pointer and settles back with damped physics. Expose sensible props for content, colours, size, timing, intensity, and interaction; preserve keyboard access where it is interactive; avoid unnecessary animation under `prefers-reduced-motion`; and pause expensive rendering while off-screen or the tab is hidden. Use a clean TypeScript API and do not copy React Bits source code."
"React Bits","Animations","Electric Border","https://www.reactbits.dev/animations/electric-border","ElectricBorder","Jittery electric energy border with animated arcs, glow and adjustable intensity.","Build an original, reusable React component called **Electric Border**. Its visual behaviour should be: Jittery electric energy border with animated arcs, glow and adjustable intensity. Expose sensible props for content, colours, size, timing, intensity, and interaction; preserve keyboard access where it is interactive; avoid unnecessary animation under `prefers-reduced-motion`; and pause expensive rendering while off-screen or the tab is hidden. Use a clean TypeScript API and do not copy React Bits source code."
"React Bits","Animations","Fade Content","https://www.reactbits.dev/animations/fade-content","FadeContent","Simple directional fade / slide entrance / exit wrapper with threshold-based activation.","Build an original, reusable React component called **Fade Content**. Its visual behaviour should be: Simple directional fade / slide entrance / exit wrapper with threshold-based activation. Expose sensible props for content, colours, size, timing, intensity, and interaction; preserve keyboard access where it is interactive; avoid unnecessary animation under `prefers-reduced-motion`; and pause expensive rendering while off-screen or the tab is hidden. Use a clean TypeScript API and do not copy React Bits source code."
"React Bits","Animations","Ghost Cursor","https://www.reactbits.dev/animations/ghost-cursor","GhostCursor","Semi-transparent ghost cursor that smoothly follows the real cursor with a trailing effect.","Build an original, reusable React component called **Ghost Cursor**. Its visual behaviour should be: Semi-transparent ghost cursor that smoothly follows the real cursor with a trailing effect. Expose sensible props for content, colours, size, timing, intensity, and interaction; preserve keyboard access where it is interactive; avoid unnecessary animation under `prefers-reduced-motion`; and pause expensive rendering while off-screen or the tab is hidden. Use a clean TypeScript API and do not copy React Bits source code."
"React Bits","Animations","Glare Hover","https://www.reactbits.dev/animations/glare-hover","GlareHover","Adds a realistic moving glare highlight on hover over any element.","Build an original, reusable React component called **Glare Hover**. Its visual behaviour should be: Adds a realistic moving glare highlight on hover over any element. Expose sensible props for content, colours, size, timing, intensity, and interaction; preserve keyboard access where it is interactive; avoid unnecessary animation under `prefers-reduced-motion`; and pause expensive rendering while off-screen or the tab is hidden. Use a clean TypeScript API and do not copy React Bits source code."
"React Bits","Animations","Glow Cursor","https://www.reactbits.dev/animations/glow-cursor","GlowCursor","Shader-powered light trail that smoothly follows the pointer with customizable glow, color, taper and pulse.","Build an original, reusable React component called **Glow Cursor**. Its visual behaviour should be: Shader-powered light trail that smoothly follows the pointer with customizable glow, color, taper and pulse. Expose sensible props for content, colours, size, timing, intensity, and interaction; preserve keyboard access where it is interactive; avoid unnecessary animation under `prefers-reduced-motion`; and pause expensive rendering while off-screen or the tab is hidden. Use a clean TypeScript API and do not copy React Bits source code."
"React Bits","Animations","Gradual Blur","https://www.reactbits.dev/animations/gradual-blur","GradualBlur","Progressively un-blurs content based on scroll or trigger creating a cinematic reveal.","Build an original, reusable React component called **Gradual Blur**. Its visual behaviour should be: Progressively un-blurs content based on scroll or trigger creating a cinematic reveal. Expose sensible props for content, colours, size, timing, intensity, and interaction; preserve keyboard access where it is interactive; avoid unnecessary animation under `prefers-reduced-motion`; and pause expensive rendering while off-screen or the tab is hidden. Use a clean TypeScript API and do not copy React Bits source code."
"React Bits","Animations","Halftone Reveal","https://www.reactbits.dev/animations/halftone-reveal","HalftoneReveal","Print-style halftone dot matrix that resolves into sharp content around the cursor.","Build an original, reusable React component called **Halftone Reveal**. Its visual behaviour should be: Print-style halftone dot matrix that resolves into sharp content around the cursor. Expose sensible props for content, colours, size, timing, intensity, and interaction; preserve keyboard access where it is interactive; avoid unnecessary animation under `prefers-reduced-motion`; and pause expensive rendering while off-screen or the tab is hidden. Use a clean TypeScript API and do not copy React Bits source code."
"React Bits","Animations","Image Trail","https://www.reactbits.dev/animations/image-trail","ImageTrail","Cursor-based image trail with several built-in variants.","Build an original, reusable React component called **Image Trail**. Its visual behaviour should be: Cursor-based image trail with several built-in variants. Expose sensible props for content, colours, size, timing, intensity, and interaction; preserve keyboard access where it is interactive; avoid unnecessary animation under `prefers-reduced-motion`; and pause expensive rendering while off-screen or the tab is hidden. Use a clean TypeScript API and do not copy React Bits source code."
"React Bits","Animations","Laser Flow","https://www.reactbits.dev/animations/laser-flow","LaserFlow","Dynamic laser light that flows onto a surface, customizable effect.","Build an original, reusable React component called **Laser Flow**. Its visual behaviour should be: Dynamic laser light that flows onto a surface, customizable effect. Expose sensible props for content, colours, size, timing, intensity, and interaction; preserve keyboard access where it is interactive; avoid unnecessary animation under `prefers-reduced-motion`; and pause expensive rendering while off-screen or the tab is hidden. Use a clean TypeScript API and do not copy React Bits source code."
"React Bits","Animations","Logo Loop","https://www.reactbits.dev/animations/logo-loop","LogoLoop","Continuously looping marquee of brand or tech logos with seamless repeat and hover pause.","Build an original, reusable React component called **Logo Loop**. Its visual behaviour should be: Continuously looping marquee of brand or tech logos with seamless repeat and hover pause. Expose sensible props for content, colours, size, timing, intensity, and interaction; preserve keyboard access where it is interactive; avoid unnecessary animation under `prefers-reduced-motion`; and pause expensive rendering while off-screen or the tab is hidden. Use a clean TypeScript API and do not copy React Bits source code."
"React Bits","Animations","Magic Rings","https://www.reactbits.dev/animations/magic-rings","MagicRings","Interactive magic rings effect with customizable parameters.","Build an original, reusable React component called **Magic Rings**. Its visual behaviour should be: Interactive magic rings effect with customizable parameters. Expose sensible props for content, colours, size, timing, intensity, and interaction; preserve keyboard access where it is interactive; avoid unnecessary animation under `prefers-reduced-motion`; and pause expensive rendering while off-screen or the tab is hidden. Use a clean TypeScript API and do not copy React Bits source code."
"React Bits","Animations","Magnet","https://www.reactbits.dev/animations/magnet","Magnet","Elements magnetically ease toward the cursor then settle back with spring physics.","Build an original, reusable React component called **Magnet**. Its visual behaviour should be: Elements magnetically ease toward the cursor then settle back with spring physics. Expose sensible props for content, colours, size, timing, intensity, and interaction; preserve keyboard access where it is interactive; avoid unnecessary animation under `prefers-reduced-motion`; and pause expensive rendering while off-screen or the tab is hidden. Use a clean TypeScript API and do not copy React Bits source code."
"React Bits","Animations","Magnet Lines","https://www.reactbits.dev/animations/magnet-lines","MagnetLines","Animated field lines bend toward the cursor.","Build an original, reusable React component called **Magnet Lines**. Its visual behaviour should be: Animated field lines bend toward the cursor. Expose sensible props for content, colours, size, timing, intensity, and interaction; preserve keyboard access where it is interactive; avoid unnecessary animation under `prefers-reduced-motion`; and pause expensive rendering while off-screen or the tab is hidden. Use a clean TypeScript API and do not copy React Bits source code."
"React Bits","Animations","Meta Balls","https://www.reactbits.dev/animations/meta-balls","MetaBalls","Liquid metaball blobs that merge and separate with smooth implicit surface animation.","Build an original, reusable React component called **Meta Balls**. Its visual behaviour should be: Liquid metaball blobs that merge and separate with smooth implicit surface animation. Expose sensible props for content, colours, size, timing, intensity, and interaction; preserve keyboard access where it is interactive; avoid unnecessary animation under `prefers-reduced-motion`; and pause expensive rendering while off-screen or the tab is hidden. Use a clean TypeScript API and do not copy React Bits source code."
"React Bits","Animations","Metallic Paint","https://www.reactbits.dev/animations/metallic-paint","MetallicPaint","Liquid metallic paint shader which can be applied to SVG elements.","Build an original, reusable React component called **Metallic Paint**. Its visual behaviour should be: Liquid metallic paint shader which can be applied to SVG elements. Expose sensible props for content, colours, size, timing, intensity, and interaction; preserve keyboard access where it is interactive; avoid unnecessary animation under `prefers-reduced-motion`; and pause expensive rendering while off-screen or the tab is hidden. Use a clean TypeScript API and do not copy React Bits source code."
"React Bits","Animations","Noise","https://www.reactbits.dev/animations/noise","Noise","Animated film grain / noise overlay adding subtle texture and motion.","Build an original, reusable React component called **Noise**. Its visual behaviour should be: Animated film grain / noise overlay adding subtle texture and motion. Expose sensible props for content, colours, size, timing, intensity, and interaction; preserve keyboard access where it is interactive; avoid unnecessary animation under `prefers-reduced-motion`; and pause expensive rendering while off-screen or the tab is hidden. Use a clean TypeScript API and do not copy React Bits source code."
"React Bits","Animations","Orbit Images","https://www.reactbits.dev/animations/orbit-images","OrbitImages","SVG Path customizable orbiting images effect.","Build an original, reusable React component called **Orbit Images**. Its visual behaviour should be: SVG Path customizable orbiting images effect. Expose sensible props for content, colours, size, timing, intensity, and interaction; preserve keyboard access where it is interactive; avoid unnecessary animation under `prefers-reduced-motion`; and pause expensive rendering while off-screen or the tab is hidden. Use a clean TypeScript API and do not copy React Bits source code."
"React Bits","Animations","Pixel Swap","https://www.reactbits.dev/animations/pixel-swap","PixelSwap","Pixel fragments assemble into a full cover, swap arbitrary content, then dissolve away with reversible colors and triggers.","Build an original, reusable React component called **Pixel Swap**. Its visual behaviour should be: Pixel fragments assemble into a full cover, swap arbitrary content, then dissolve away with reversible colors and triggers. Expose sensible props for content, colours, size, timing, intensity, and interaction; preserve keyboard access where it is interactive; avoid unnecessary animation under `prefers-reduced-motion`; and pause expensive rendering while off-screen or the tab is hidden. Use a clean TypeScript API and do not copy React Bits source code."
"React Bits","Animations","Pixel Trail","https://www.reactbits.dev/animations/pixel-trail","PixelTrail","Pixelated cursor trail emitting fading squares with retro digital feel.","Build an original, reusable React component called **Pixel Trail**. Its visual behaviour should be: Pixelated cursor trail emitting fading squares with retro digital feel. Expose sensible props for content, colours, size, timing, intensity, and interaction; preserve keyboard access where it is interactive; avoid unnecessary animation under `prefers-reduced-motion`; and pause expensive rendering while off-screen or the tab is hidden. Use a clean TypeScript API and do not copy React Bits source code."
"React Bits","Animations","Pixel Transition","https://www.reactbits.dev/animations/pixel-transition","PixelTransition","Pixel dissolve transition for content reveal on hover.","Build an original, reusable React component called **Pixel Transition**. Its visual behaviour should be: Pixel dissolve transition for content reveal on hover. Expose sensible props for content, colours, size, timing, intensity, and interaction; preserve keyboard access where it is interactive; avoid unnecessary animation under `prefers-reduced-motion`; and pause expensive rendering while off-screen or the tab is hidden. Use a clean TypeScript API and do not copy React Bits source code."
"React Bits","Animations","Ribbons","https://www.reactbits.dev/animations/ribbons","Ribbons","Flowing responsive ribbons/cursor trail driven by physics and pointer motion.","Build an original, reusable React component called **Ribbons**. Its visual behaviour should be: Flowing responsive ribbons/cursor trail driven by physics and pointer motion. Expose sensible props for content, colours, size, timing, intensity, and interaction; preserve keyboard access where it is interactive; avoid unnecessary animation under `prefers-reduced-motion`; and pause expensive rendering while off-screen or the tab is hidden. Use a clean TypeScript API and do not copy React Bits source code."
"React Bits","Animations","Ripple Distortion","https://www.reactbits.dev/animations/ripple-distortion","RippleDistortion","Pointer-driven water displacement that warps content and leaves a decaying wake.","Build an original, reusable React component called **Ripple Distortion**. Its visual behaviour should be: Pointer-driven water displacement that warps content and leaves a decaying wake. Expose sensible props for content, colours, size, timing, intensity, and interaction; preserve keyboard access where it is interactive; avoid unnecessary animation under `prefers-reduced-motion`; and pause expensive rendering while off-screen or the tab is hidden. Use a clean TypeScript API and do not copy React Bits source code."
"React Bits","Animations","Scroll Expand","https://www.reactbits.dev/animations/scroll-expand","ScrollExpand","A rounded media frame that grows to full bleed as it scrolls through the viewport.","Build an original, reusable React component called **Scroll Expand**. Its visual behaviour should be: A rounded media frame that grows to full bleed as it scrolls through the viewport. Expose sensible props for content, colours, size, timing, intensity, and interaction; preserve keyboard access where it is interactive; avoid unnecessary animation under `prefers-reduced-motion`; and pause expensive rendering while off-screen or the tab is hidden. Use a clean TypeScript API and do not copy React Bits source code."
"React Bits","Animations","Shape Blur","https://www.reactbits.dev/animations/shape-blur","ShapeBlur","Morphing blurred geometric shape. The effect occurs on hover.","Build an original, reusable React component called **Shape Blur**. Its visual behaviour should be: Morphing blurred geometric shape. The effect occurs on hover. Expose sensible props for content, colours, size, timing, intensity, and interaction; preserve keyboard access where it is interactive; avoid unnecessary animation under `prefers-reduced-motion`; and pause expensive rendering while off-screen or the tab is hidden. Use a clean TypeScript API and do not copy React Bits source code."
"React Bits","Animations","Splash Cursor","https://www.reactbits.dev/animations/splash-cursor","SplashCursor","Liquid splash burst at cursor with curling ripples and waves.","Build an original, reusable React component called **Splash Cursor**. Its visual behaviour should be: Liquid splash burst at cursor with curling ripples and waves. Expose sensible props for content, colours, size, timing, intensity, and interaction; preserve keyboard access where it is interactive; avoid unnecessary animation under `prefers-reduced-motion`; and pause expensive rendering while off-screen or the tab is hidden. Use a clean TypeScript API and do not copy React Bits source code."
"React Bits","Animations","Star Border","https://www.reactbits.dev/animations/star-border","StarBorder","Animated star / sparkle border orbiting content with twinkle pulses.","Build an original, reusable React component called **Star Border**. Its visual behaviour should be: Animated star / sparkle border orbiting content with twinkle pulses. Expose sensible props for content, colours, size, timing, intensity, and interaction; preserve keyboard access where it is interactive; avoid unnecessary animation under `prefers-reduced-motion`; and pause expensive rendering while off-screen or the tab is hidden. Use a clean TypeScript API and do not copy React Bits source code."
"React Bits","Animations","Sticker Peel","https://www.reactbits.dev/animations/sticker-peel","StickerPeel","Sticker corner lift + peel interaction using 3D transform and shadow depth.","Build an original, reusable React component called **Sticker Peel**. Its visual behaviour should be: Sticker corner lift + peel interaction using 3D transform and shadow depth. Expose sensible props for content, colours, size, timing, intensity, and interaction; preserve keyboard access where it is interactive; avoid unnecessary animation under `prefers-reduced-motion`; and pause expensive rendering while off-screen or the tab is hidden. Use a clean TypeScript API and do not copy React Bits source code."
"React Bits","Animations","Strands","https://www.reactbits.dev/animations/strands","Strands","Glowing ribbon-like strands that ripple and weave across a transparent canvas.","Build an original, reusable React component called **Strands**. Its visual behaviour should be: Glowing ribbon-like strands that ripple and weave across a transparent canvas. Expose sensible props for content, colours, size, timing, intensity, and interaction; preserve keyboard access where it is interactive; avoid unnecessary animation under `prefers-reduced-motion`; and pause expensive rendering while off-screen or the tab is hidden. Use a clean TypeScript API and do not copy React Bits source code."
"React Bits","Animations","Swarm Cursor","https://www.reactbits.dev/animations/swarm-cursor","SwarmCursor","Flocking particle swarm that chases the pointer, jostles for space and drifts apart at rest.","Build an original, reusable React component called **Swarm Cursor**. Its visual behaviour should be: Flocking particle swarm that chases the pointer, jostles for space and drifts apart at rest. Expose sensible props for content, colours, size, timing, intensity, and interaction; preserve keyboard access where it is interactive; avoid unnecessary animation under `prefers-reduced-motion`; and pause expensive rendering while off-screen or the tab is hidden. Use a clean TypeScript API and do not copy React Bits source code."
"React Bits","Animations","Target Cursor","https://www.reactbits.dev/animations/target-cursor","TargetCursor","A cursor follow animation with 4 corners that lock onto targets.","Build an original, reusable React component called **Target Cursor**. Its visual behaviour should be: A cursor follow animation with 4 corners that lock onto targets. Expose sensible props for content, colours, size, timing, intensity, and interaction; preserve keyboard access where it is interactive; avoid unnecessary animation under `prefers-reduced-motion`; and pause expensive rendering while off-screen or the tab is hidden. Use a clean TypeScript API and do not copy React Bits source code."
